DATE,Analysed,Reference,vals,HOM
2019-10-10,-705208.438619541,-710375.4892522795,5167.050632738508,-705208.438619541
2019-10-11,173932.05741588492,48050.409563560504,125881.64785232441,173932.05741588492
2019-10-12,-898251.4202222377,652687.2362775952,-1550938.6564998329,-898251.4202222377
2019-10-13,789993.0718644746,-111325.32147921622,901318.3933436908,789993.0718644746
2019-10-14,-131584.78196111694,-534313.5778846778,402728.79592356086,-131584.78196111694
2019-10-15,1496720.4823142579,534440.0710363593,962280.4112778986,1496720.4823142579
2019-10-16,-338034.7455038838,-404737.3643877879,66702.61888390407,-338034.7455038838
2019-10-17,2794076.9193827994,580352.8199222386,2213724.099460561,2794076.9193827994
2019-10-18,210829.49349675328,94407.29939255305,116422.19410420023,210829.49349675328
2019-10-19,-1321847.795574163,372954.6322215041,-1694802.4277956672,-1321847.795574163
2019-10-20,1398112.1718059443,1350175.5136403372,47936.658165607136,1398112.1718059443
2019-10-21,1543353.0485249292,619396.6132896214,923956.4352353078,1543353.0485249292
2019-10-22,316727.20029173,575392.0971416344,-258664.89684990444,316727.20029173
2019-10-23,1848446.2188580884,1839968.2172672707,8478.001590817701,1848446.2188580884
2019-10-24,1561822.9707162408,662967.2817719299,898855.6889443109,1561822.9707162408
2019-10-25,318224.7031392241,513320.2566579585,-195095.5535187344,318224.7031392241
2019-10-26,624446.8568347879,381655.22777666803,242791.62905811984,624446.8568347879
2019-10-27,-518694.7808617763,-217836.7177585438,-300858.06310323253,-518694.7808617763
2019-10-28,897226.8479070179,243671.86668621376,653554.9812208042,897226.8479070179
2019-10-29,-635906.511994902,-28732.589742381126,-607173.9222525209,-635906.511994902
2019-10-30,-758654.5924922395,103891.26390454173,-862545.8563967813,-758654.5924922395
2019-10-31,-234594.13666114584,-24376.374271977693,-210217.76238916814,-234594.13666114584
2019-11-01,591571.8415306844,1082642.013234754,-491070.1717040697,591571.8415306844
2019-11-02,-989430.7011721097,-367044.9931771755,-622385.7079949342,-989430.7011721097
2019-11-03,-1581660.1073741876,505684.5015317714,-2087344.608905959,-1581660.1073741876
2019-11-04,223018.08025825396,159189.7268988043,63828.353359449655,223018.08025825396
2019-11-05,203738.50742900744,753393.3347272491,-549654.8272982417,203738.50742900744
2019-11-06,960135.2837467231,100948.56820271909,859186.715544004,960135.2837467231
2019-11-07,1430865.9371526279,1056754.425601421,374111.51155120693,1430865.9371526279
2019-11-08,-133904.10759484395,-142282.29202166665,8378.1844268227,-133904.10759484395
2019-11-09,1251565.7185090818,1129661.4577533156,121904.26075576618,1251565.7185090818
2019-11-10,-1104057.2478170358,30086.058467046358,-1134143.3062840821,-1104057.2478170358
2019-11-11,-1299109.9117952548,-606793.7641393691,-692316.1476558857,-1299109.9117952548
2019-11-12,2287353.487564806,355853.9166109413,1931499.5709538646,2287353.487564806
2019-11-13,-177807.96803402528,634491.6890683323,-812299.6571023576,-177807.96803402528
2019-11-14,9281.552639368922,1349279.534072563,-1339997.9814331941,9281.552639368922
2019-11-15,-346023.62880301103,455052.5569771677,-801076.1857801788,-346023.62880301103
2019-11-16,828946.525231842,801676.1797975451,27270.345434296876,828946.525231842
2019-11-17,1724418.325273279,652480.7825627476,1071937.5427105315,1724418.325273279
2019-11-18,204033.89696479216,90311.51025877893,113722.38670601323,204033.89696479216
2019-11-19,2584140.6052076854,1103831.1061069518,1480309.4991007335,2584140.6052076854
2019-11-20,-389015.7856490575,-274176.38153479993,-114839.40411425754,-389015.7856490575
2019-11-21,4891055.076054577,1869616.3353065401,3021438.7407480367,4891055.076054577
2019-11-22,-992714.4962049685,-798920.6455070227,-193793.8506979458,-992714.4962049685
2019-11-23,1894813.6320683993,1398549.8422031552,496263.7898652442,1894813.6320683993
2019-11-24,-86801.24269461259,-531543.6689271778,444742.4262325652,-86801.24269461259
2019-11-25,-477527.2874482833,-1074800.6866354495,597273.3991871662,-477527.2874482833
2019-11-26,-322314.1949126683,1087890.2752755955,-1410204.4701882638,-322314.1949126683
2019-11-27,529405.6695280112,1208350.36646159,-678944.6969335787,529405.6695280112
2019-11-28,-464799.0306794606,127003.95374722779,-591802.9844266884,-464799.0306794606
2019-11-29,-1201275.5567499362,1472495.7128642667,-2673771.269614203,-1201275.5567499362
2019-11-30,2322587.284998182,-535635.9153234018,2858223.200321584,2322587.284998182
2019-12-01,2122831.2030906714,3839.3706995700486,2118991.8323911014,2122831.2030906714
2019-12-02,1526554.7098380364,969197.9888279587,557356.7210100777,1526554.7098380364
2019-12-03,-4134698.655353423,-239767.31760863215,-3894931.337744791,-62141.37707724795
2019-12-04,-1217422.4798752032,-64168.51142050326,-1153253.9684547,-1217422.4798752032
2019-12-05,-889707.2679017745,179077.2949617058,-1068784.5628634803,-889707.2679017745
2019-12-06,646645.3570779599,1539489.740495734,-892844.383417774,646645.3570779599
2019-12-07,-4261265.036894914,814263.354525473,-5075528.391420387,991889.2950568572
2019-12-08,3930.7438108958304,364386.95054487884,-360456.206733983,3930.7438108958304
2019-12-09,1562721.5279179849,1539378.3039701465,23343.223947838414,1562721.5279179849
2019-12-10,2419513.838832978,426940.006008246,1992573.8328247322,2419513.838832978
2019-12-11,1190104.2482687272,1251261.0408666506,-61156.79259792343,1190104.2482687272
2019-12-12,1172495.1100195684,1238554.0160292536,-66058.90600968525,1172495.1100195684
2019-12-13,-4286459.029213782,679843.7647288116,-4966302.793942594,857469.7052601958
2019-12-14,-1303897.6575673781,300258.0264787227,-1604155.6840461008,-1303897.6575673781
2019-12-15,7525812.281011824,679590.8958560377,6846221.385155786,857216.8363874219
2019-12-16,-213176.27078497037,-122701.6015279442,-90474.66925702617,-213176.27078497037
2019-12-17,-4685544.299839135,1064229.1535457522,-5749773.453384887,1241855.0940771364
2019-12-18,6192432.773374084,739103.3085484952,5453329.464825589,916729.2490798794
2019-12-19,361123.20671964064,701817.897509262,-340694.6907896213,361123.20671964064
2019-12-20,232818.85183895007,757414.8257214893,-524595.9738825392,232818.85183895007
2019-12-21,559710.3255993165,1326930.7695675893,-767220.4439682728,559710.3255993165
2019-12-22,-560170.628715273,-16550.353295523673,-543620.2754197493,-560170.628715273
2019-12-23,-360311.9727801047,495642.238952687,-855954.2117327917,-360311.9727801047
2019-12-24,72386.84809887782,335203.2118461898,-262816.363747312,72386.84809887782
2019-12-25,1347661.6113039292,850504.024474869,497157.5868290602,1347661.6113039292
2019-12-26,-4362311.398514029,587517.4833987299,-4949828.881912759,765143.4239301141
2019-12-27,51904.14689422026,1327986.730051577,-1276082.5831573568,51904.14689422026
2019-12-28,-1450509.7437617742,612577.8788507842,-2063087.6226125583,-1450509.7437617742
2019-12-29,-783055.659252163,410800.1761638224,-1193855.8354159854,-783055.659252163
2019-12-30,913306.51481748,947459.4623775631,-34152.94756008312,913306.51481748
2019-12-31,710706.726447586,680700.7455842048,30005.980863381177,710706.726447586
2020-01-01,132939.72112715617,97895.07228805125,35044.64883910492,132939.72112715617
2020-01-02,1054931.296645049,1019886.6478059441,35044.64883910492,1054931.296645049
2020-01-03,2808815.2686711587,958790.3302176148,1850024.938453544,2808815.2686711587
2020-01-04,2656821.6105340756,515581.4511742741,2141240.1593598016,2656821.6105340756
2020-01-05,1133923.3226131238,1098878.673774019,35044.64883910492,1133923.3226131238
2020-01-06,4602808.516260508,164034.66668490856,4438773.8495756,341660.60721629276
2020-01-07,-4787.182501669973,496229.3353576809,-501016.5178593509,-4787.182501669973
2020-01-08,1332417.506356839,-215213.79765366018,1547631.3040104993,1332417.506356839
2020-01-09,3331656.671939496,1506170.2208259255,1825486.4511135705,3331656.671939496
2020-01-10,2035653.1686333455,557865.5816386491,1477787.5869946964,2035653.1686333455
2020-01-11,2294700.320092801,1245387.666959539,1049312.653133262,2294700.320092801
2020-01-12,3739417.558814887,711233.5071826726,3028184.0516322143,3739417.558814887
2020-01-13,845651.7515758313,690399.1505944282,155252.60098140314,845651.7515758313
2020-01-14,5256002.828924064,199019.7860235721,5056983.0429004915,376645.7265549563
2020-01-15,2290772.3386799134,335358.0688936338,1955414.2697862796,2290772.3386799134
2020-01-16,2544738.693099145,777484.2723298222,1767254.4207693227,2544738.693099145
2020-01-17,2871521.595220927,1453974.1180620342,1417547.477158893,2871521.595220927
